epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,691.518,0.88905,0.52978,1.05431,0.76509,0.64811,0.70495,0.37214,1.80107,1.08879,1.7374,0.000482,0.000482,0.000482
117,697.004,0.86843,0.52072,1.04754,0.75444,0.66273,0.70856,0.37098,1.80814,1.06461,1.7597,0.0004688,0.0004688,0.0004688
118,702.525,0.88285,0.51732,1.04771,0.81772,0.62226,0.71092,0.37926,1.78748,1.07341,1.68918,0.0004556,0.0004556,0.0004556
119,708.02,0.88104,0.51649,1.05283,0.78162,0.62395,0.69993,0.37951,1.76243,1.05724,1.68953,0.0004424,0.0004424,0.0004424
120,713.494,0.84535,0.52267,1.03626,0.79043,0.64418,0.70808,0.38255,1.75652,1.06257,1.66682,0.0004292,0.0004292,0.0004292
121,719.018,0.84446,0.50167,1.02761,0.76166,0.65093,0.70957,0.37904,1.75956,1.07426,1.69427,0.000416,0.000416,0.000416
122,724.571,0.84979,0.50506,1.04095,0.76473,0.65229,0.70769,0.3846,1.76491,1.06588,1.68069,0.0004028,0.0004028,0.0004028
123,730.16,0.85208,0.50329,1.0353,0.78322,0.64924,0.72021,0.38217,1.76095,1.05389,1.68335,0.0003896,0.0003896,0.0003896
124,735.673,0.83831,0.49202,1.02456,0.78829,0.63417,0.71773,0.38465,1.7466,1.05063,1.65763,0.0003764,0.0003764,0.0003764
125,741.148,0.83855,0.50011,1.03367,0.76277,0.64418,0.7191,0.38533,1.73113,1.07212,1.64192,0.0003632,0.0003632,0.0003632
126,746.626,0.82239,0.49405,1.02354,0.76107,0.64924,0.70627,0.3829,1.74293,1.09957,1.64554,0.00035,0.00035,0.00035
127,752.104,0.84258,0.49278,1.02956,0.75826,0.65261,0.70671,0.37889,1.74005,1.08737,1.64585,0.0003368,0.0003368,0.0003368
128,757.588,0.80725,0.48946,1.01573,0.79218,0.64587,0.70591,0.37907,1.73511,1.0819,1.65092,0.0003236,0.0003236,0.0003236
129,763.145,0.81637,0.48665,1.02674,0.78849,0.65767,0.71429,0.38,1.73913,1.06924,1.6726,0.0003104,0.0003104,0.0003104
130,768.651,0.79958,0.48103,1.01344,0.76836,0.66565,0.71956,0.38794,1.73459,1.06185,1.6708,0.0002972,0.0002972,0.0002972
131,774.136,0.8038,0.4864,1.01161,0.76522,0.65936,0.70692,0.38124,1.73636,1.06463,1.68029,0.000284,0.000284,0.000284
132,779.647,0.80674,0.47763,1.02032,0.77,0.65261,0.70088,0.38065,1.75129,1.11205,1.68722,0.0002708,0.0002708,0.0002708
133,785.233,0.79934,0.48359,1.01626,0.7613,0.65093,0.69922,0.37965,1.72883,1.1159,1.66644,0.0002576,0.0002576,0.0002576
134,790.76,0.80414,0.48066,1.01655,0.76034,0.6527,0.70338,0.38113,1.74347,1.11486,1.67033,0.0002444,0.0002444,0.0002444
135,796.288,0.78923,0.48011,1.01036,0.75129,0.67116,0.71707,0.3841,1.74858,1.07531,1.66588,0.0002312,0.0002312,0.0002312
